,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
3690,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-03-30,Parts per billion,None,24,100.0,Y,7.45,13.4,7,12,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3691,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-03-30,Parts per billion,None,24,100.0,Y,7.45,13.4,7,12,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3692,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-03-31,Parts per billion,None,24,100.0,Y,4.395833,6.2,14,6,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3693,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-03-31,Parts per billion,None,24,100.0,Y,4.395833,6.2,14,6,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3694,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-01,Parts per billion,None,19,79.0,Y,8.821053,17.9,7,16,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3695,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-01,Parts per billion,None,19,79.0,Y,8.821053,17.9,7,16,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3696,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-02,Parts per billion,None,24,100.0,Y,12.183333,30.4,6,28,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3697,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-02,Parts per billion,None,24,100.0,Y,12.183333,30.4,6,28,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3698,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-03,Parts per billion,None,11,46.0,N,9.509091,15.4,6,14,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3699,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-03,Parts per billion,None,11,46.0,N,9.509091,15.4,6,14,574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3700,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-04,Parts per billion,None,18,75.0,Y,9.338889,29.0,21,27,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3701,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-04,Parts per billion,None,18,75.0,Y,9.338889,29.0,21,27,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3702,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-05,Parts per billion,None,24,100.0,Y,10.820833,20.8,1,19,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3703,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-05,Parts per billion,None,24,100.0,Y,10.820833,20.8,1,19,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3704,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-06,Parts per billion,None,24,100.0,Y,6.6625,19.5,21,18,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3705,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-06,Parts per billion,None,24,100.0,Y,6.6625,19.5,21,18,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3706,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-07,Parts per billion,None,24,100.0,Y,9.9375,24.8,1,23,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3707,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-07,Parts per billion,None,24,100.0,Y,9.9375,24.8,1,23,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3708,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,2019-04-08,Parts per billion,None,17,71.0,N,7.017647,14.3,6,13,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
3709,36,055,0015,42602,1,43.145013,-77.55728,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,2019-04-08,Parts per billion,None,17,71.0,N,7.017647,14.3,6,13,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,Rochester Near-Road,"I-490 and 1775 East Avenue, Rochester, NY 14610",New York,Monroe,Rochester,40380,"Rochester, NY",2020-02-13
