,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
1365,7/19/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.525,19.1,18,IS 52,New York
1367,7/18/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.345833,23.5,22,IS 52,New York
1370,7/17/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.958333,16.7,15,IS 52,New York
1372,7/16/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.066667,11.9,10,IS 52,New York
1374,7/15/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.45,15.5,14,IS 52,New York
1376,7/14/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.304167,11.7,10,IS 52,New York
1378,7/13/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.929167,14.5,13,IS 52,New York
1380,7/12/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.495833,11.7,10,IS 52,New York
1382,7/11/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.366667,23.2,22,IS 52,New York
1384,7/10/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.6041669999999995,9.0,8,IS 52,New York
1386,7/9/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.708333,19.4,18,IS 52,New York
1388,7/8/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.308333,21.3,20,IS 52,New York
1390,7/7/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.25,17.7,16,IS 52,New York
1392,7/6/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.479167,38.1,36,IS 52,New York
1394,7/5/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.966667,28.8,26,IS 52,New York
1396,7/4/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.183333,11.5,10,IS 52,New York
1398,7/3/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.608333,14.7,13,IS 52,New York
1401,7/1/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.420833,26.1,25,IS 52,New York
1403,7/2/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.395833,33.1,31,IS 52,New York
1404,6/30/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.8333330000000005,17.8,16,IS 52,New York
1406,6/29/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.225,16.7,15,IS 52,New York
1408,6/28/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.766667,23.1,22,IS 52,New York
1410,6/27/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,18.141667,32.6,30,IS 52,New York
1412,6/26/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.145832999999998,29.2,27,IS 52,New York
1414,6/25/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.55,20.0,19,IS 52,New York
1416,6/24/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.975,19.6,18,IS 52,New York
1418,6/23/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.029167000000001,31.5,29,IS 52,New York
1420,6/22/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.975,25.7,24,IS 52,New York
1422,6/21/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.620833,24.4,23,IS 52,New York
1423,6/20/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.066667000000002,26.8,25,IS 52,New York
1425,6/19/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.1875,19.2,18,IS 52,New York
1428,6/18/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.295833,16.4,15,IS 52,New York
1430,6/17/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.7708330000000005,17.2,16,IS 52,New York
1432,6/16/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.208333,20.4,19,IS 52,New York
1434,6/15/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.25,13.8,12,IS 52,New York
1436,6/14/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,4.841667,12.6,11,IS 52,New York
1438,6/13/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,3.708333,5.3,5,IS 52,New York
1440,6/12/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.329167,16.8,15,IS 52,New York
1442,6/11/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.858332999999998,25.1,24,IS 52,New York
1444,6/10/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.225,17.2,16,IS 52,New York
1446,6/9/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.745833,27.5,25,IS 52,New York
1448,6/8/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.9125,34.7,32,IS 52,New York
1450,6/7/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,4.5833330000000005,11.5,10,IS 52,New York
1452,6/6/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.045833,28.3,26,IS 52,New York
1454,6/5/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.145833,27.5,25,IS 52,New York
1456,6/4/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.675,41.4,39,IS 52,New York
